(de) tempo parcial	envolvendo menos do que o tempo normal ou habitual para uma atividade
encobrir	cobrir como se com um véu
encolerizar	fazer ficar com raiva
encolher	ficar menor ou contrair; "o tecido encolheu"; "o balão murchou"
encontrar	ter sucesso em alcançar; chegar ao
encontro	o ato social de reunir-se para algum propósito comum; "seu encontro com o vendedor foi o ponto alto do seu dia"
encorajar	estimular a
encostar	ter contato físico direto com algo; fazer contato (físico); "os dois prédios se tocaram"; "suas mãos se tocaram"; "O fio não deve encostar o tampa de metal "; " As superfícies se encostaram neste momento "
encrespar	encaracolar bem
encriptar	converter a linguagem comum em código; "Nós devemos codificar a mensagem por razões de segurança"
encrostar	formar uma crosta ou uma camada dura
encrustar	decorar a superfície pela inserção de madeira, pedra e metal
encurralar	forçar uma pessoa ou um animal em uma posição da qual ele não pode escapar
encurtar	reduzir em âmbito mantendo os elementos essenciais; "O manuscrito precisa ser condensado"
endereçar	agir verbalmente ou em alguma forma de expressão artística; "Este livro trata de incesto"; "O curso fala de todas as civilizações ocidentais"; "O novo livro trata da história da China"
endereçar erradamente	colocar um endereço errado
endeusar	exaltar à posição de um Deus
endireitar	fazer reto
endoidecer	sofrer um colapso nervoso
endorsar	aprovar, suportar
endossar	dar suporte ou aprovação a
endosso	o ato de endossar; "um atleta pode fazer um monte de dinheiro de endossos"
endurecer	repentinamente agir de forma fria e formal; "ela paralizou quando viu seu ex-marido"
enebriar	encher de emoção sublime
enebriar se	Ficar bêbado ou beber excessivamente
energia libidinal	(Psicanálise) energia psíquica produzida pela libido
energia mental	uma força de actuação ou factor de atuação
energia psíquica	uma força de actuação ou factor de atuação
energizar	causar um estado alerta e energizado
enervar	perturbar a serenidade de
enevoar	tornar-se confuso, escuro ou nublado
enfadonho	tão carente de interesse que chega a causar cansaço mental
enfarinhar	converter grãos em farinha
enfatizar	destacar como importante
enfeiar	fazer feio
enfeitar	tornar mais atraente ao adicionar ornamento, cor, etc
enfeitiçar	proteger através de poderes sobrenaturais ou encantos
enfermaria	Um centro de saúde onde os pacientes recebem tratamento
enfermeira visitante	uma enfermeira que é paga para visitar os doentes em suas casas
enfocar	tornar-se focalizado ou entrar em foco
enfraquecer	tornar menos animada, intensa ou vigorosa qualquer coisa; prejudicar em vigor, força, atividade ou sensação; "Terror amortizava os sentimentos dela"; "enfraquecer o som"
enfrentar	enfrentar corporeamente
enfurecer	causar a tornar-se violento
engajar	consumir toda atenção ou tempo
engajar-se	juntar-se as forças armadas
engalfinhar	agarrar ou apreender, como em um combate de wrestling
enganar	dar informações falsas ou deturpadas
enganar-se	cometer um erro
enganação	uma ação de astúcia ou enganosa
engano	uma ação errada atribuível ao mau julgamento ou ignorância ou desatenção; "ele fez um erro formidavel"; "ela foi rapida em apontar as minhas falhas"; "eu conseguia entender o ingles dele, apesar das falhas gramaticais"
engatar	manter engrenado
engendrar	conceber como engenheiro
engenhar	planejar e dirigir (uma empresa complexa)
engenheiro de minas	Um engenheiro preocupado com a construção e operação de minas
engenheiro militar	um membro das forças armadas, que é treinado em engenharia e trabalhos de construção
engenhosamente	de forma engenhosa
engessar	cobrir com gesso
engolir	beber avidamente ou como se com grande sede
engordar	acrescentar (peso a si mesmo); "ela ganhou 20 pounds quando ela parou de exercitar"
engrandecimento	o ato de aumentar a riqueza ou prestígio, poder ou alcance de alguma coisa
engravidar	fazer engravidar; "ele engravidou sua mulher novamente"
engraxar	lubrificar com graxa
engrenagem	um mecanismo de transmissão de movimento para alguma finalidade específica (como a direcum mecanismo de transmissão de movimento para alguma finalidade específica
engulir	sugar ou engolir
enjoadamente	de uma maneira enjoada
enlace	um elo que serve para juntar ou ligar
enlamear	tornar turvo
enlatar	preservar em lata; "comida enlatada não é muito saborosa"
enlaçar	tecer, enrolar or torcer junto
enlutar	observar os costumes de luto após a morte de um ente querido
enojar	causar a sentir aversão ou desgosto intenso
enquadrar	formular em um estilo ou uma linguagem particular
enraivecer	fazer ficar com raiva
enraizar	causar criar raízes
enrijar	endurecer por reaquecimento e resfriamento em óleo
enrijecer	endurecer por reaquecimento e resfriamento em óleo
enrolar	deliberadamente atrasar um evento ou ação
enrubescer	ficar vermelho, como se estivesse embaraçado ou com vergonha; "a menina corou quando um rapaz assobiou quanda ela passou"
enrugar	murchar, por causa da perda de umidade; "a fruta murchou e enrugou-se"
ensacar	colocar em um saco
ensacolar	colocar em um saco
ensaiar	participar de um ensaio
ensaio	um ensaio (especialmente um escrito como um dever de casa)
ensanguentar	cobrir com sangue
enseada	uma baia pequena
ensinamento	as atividades de educar ou instruir; atividades que dão conhecimento ou habilidade
ensinar	habituar gradualmente a alguma ação ou atitude
ensinar por repetição	ensinar por repetição
ensino	as atividades de educar ou instruir; atividades que dão conhecimento ou habilidade
ensopado de frango	um guisado feito com frango
entalhar	esculpir ou cortar em um bloco que vai ser usado para impressão
entediante	tão carente de interesse que chega a causar cansaço mental
entender	pegar o sentido de algo
enterrar	colocar na terra e cobrir com terra
entesourar	juntar desordenadamente, acumular
entidade	o que é percebido, conhecido ou inferido como tendo existência própria (vivente ou não vivente)
entidade abstrata	um conceito geral formado pela extração das características comuns de exemplos específicos
entontecer	tornar estúpido com álcool
entornar	beber avidamente ou como se com grande sede
entorse	uma lesão dolorosa de uma junta causada por um movimento repentino de seus ligamentos
entoucar	cobrir com uma touca
entrada	o ato de entrar; " ela fez uma entrada triunfal"
entrada de carros	Uma entrada de carros de uma residência particular.
entrançar	tecer, enrolar or torcer junto
entrar	tornar-se um participante; estar envolvido em
entrar com pedido	registrar em um departamento público ou em um tribunal de direito
entrar em erupção	tornar-se ativo e lançar lava e rochas para fora
entre	a localização de algo rodeado por outras coisas
entreato	o interlúdio entre dois atos de uma peça de teatro
entrega	o ato de entregar ou distribur algo (como bens ou correio)
entregador	alguém contratado para fazer entregas
entregar	levar a um destino, fazer uma entrega; "o nosso supermercado local entrega"
entregar-se	entrar com gosto em alguma coisa
entrelaçar	tecer, enrolar or torcer junto
entrelaçar-se	tornar misturado ou emaranhado com o outro
entretenimento	uma atividade que está desvia e que prende a atenção
entreter	ocupar de forma agradável, divertida ou aprazivel
entreterimento	uma atividade que está desvia e que prende a atenção
entrevista coletiva	uma conferência em que repórteres da imprensa ou TV fazem perguntas para um político ou outra celebridade
entrevistado	uma pessoa que é entrevistada
entrevistador	uma pessoa que conduz uma entrevista
entrevistar	conduzir uma entrevista na televisão, jornal ou rádio
entrincheirar	fixar firmemente, de forma segura
entrincheirar-se	fixar firmemente, de forma segura
entristecer	fazer infeliz
entronar	colocar um monarca no trono
entulhado	muito cheio ou compactado ou concentrado
entumecer	causar a tornar-se muito inchado
entumescer	expendir de forma anormal; "As barrigas das criancas sub-nutridas são inchadas"
entupir	encher em excesso de tal forma que a função é prejudicada
entusiasmar	causar muito entusiasmo
entusiasmar se	dizer com entusiasmo
entusiasmo	Um interesse ativo e positivo
entusiasticamente	De uma maneira extravagante ou entusiasta
então	Esse tempo; esse momento
enumerar	ler em voz alta como palavras escritas, números
enunciado	O uso de sons demitidos para comunicação auditiva
enunciar	falar, pronunciar, ou proferiri de uma certa maneira; "Ela pronuncia palavras em francês de forma engraçada"; "Eu não posso dizer -zip wire- '"; " A criança consegue falar esta palavra complicada? "
envasar	plantar em um vaso
envazar	plantar em um vaso
envenenar	tansformar em amargo ou ressentido
envenenar algo	tecer, enrolar or torcer junto
envergonhar	fazer se sentir envergonhado
enviar	Referir para julgamento ou consideração
enviesar	transformar ou colocar num ângulo
envigorar	fazer mais animado
envio	o ato de expedir algo
envisionar	imaginar; conceber; ver na imaginacao
envolver	cobrir como se com um véu
envólucro	uma cobertura que serve para ocultar ou abrigar algo
enxaguar	cobrir com líquido
enxarcado	exalando um fluido corporal em quantidades profusas
enxotar	remover de uma posição ou cargo
enxugar	remover a umidade e tornar seco; "roupas secas"; "cabelo seco"
epidérmico	relativo à, ou localizada na derme
epifania	a compreensão clara (e muitas vezes súbita) de uma situação complexa
epistemológico	relacionado com a epistemologia
epistêmico	relacionado com a epistemologia
epígrafo	uma cotação no início de alguma coisa escrita
epíteto	Uma palavra ou frase difamatória ou abusiva
epítome	um exemplo típico ou padrão
equilibradamente	de uma forma saudável
equilibrado	estar em um estado de equilíbrio adequado
equilibrar	pôr em equilíbrio
equinócio vernal	(Astronomia) o ponto equinocial que se encontra na constelação de Peixes
equipado	fornecido com mobiliário e acessórios (especialmente de um tipo de bom gosto)
equipagem	os homens e mulheres que trabalham num veículo (navios, aviões, etc.)
equipamento	um instrumento inventado para uma finalidade específica
equipamento de beisebol	Equipamento usado no jogo de beisebol
equipar	fornecer com habilidades ou compreensão
equiparar	tornar iqual, uniform ou correspondente
equipe	os homens e mulheres que trabalham num veículo (navios, aviões, etc.)
equivocar	cometer um erro ou estar incorreto
equívoco	uma ação errada atribuível ao mau julgamento ou ignorância ou desatenção; "ele fez um erro formidavel"; "ela foi rapida em apontar as minhas falhas"; "eu conseguia entender o ingles dele, apesar das falhas gramaticais"
era	Uma divisão principal de tempo geológico; uma era geralmente é dividida em dois ou mais períodos
era da informação	um período com início no último quarto do século 20, quando a informação se tornou facilmente acessível através de publicações e através da manipulação da informação por computadores e redes de computadores
era espacial	a idade a partir da primeira viagem espacial; de 1957 até o presente
era geológica	Uma divisão principal de tempo geológico; uma era geralmente é dividida em dois ou mais períodos
eremita	aquele que vive na solidão
erguer	levantar
eritreia	relacionado com ou característico da Eritreia e seu povo
eritreu	relacionado com ou característico da Eritreia e seu povo
eriçar	desarranjar ou desgrenhar
ermitão	aquele que vive na solidão
erotizar	dar caráter erótico ou tornar mais interessante
erradicar	matar em grande número
errar	cometer um erro ou estar incorreto
errar a data	atribuir a data errada para
erro	um ato que falha; "sua falha em passar o teste"
errático	susceptível de mudança súbita, imprevisível
erva	uma planta que não tem um caule lenhoso permanente; muitas são plantas com flores do jardim ou hortaliças; algumas têm propriedades medicinais; algumas são pragas
esbanjar	gastar com extravagância
esbelto	Sem carne em excesso;
esboçar	descrever mais ou menos ou brevemente ou dar os pontos principais ou um resumo
esburacar	fazer furos em
escada	um lance de escadas
escadas	um lance de escadas
escala	um padrão de referência ordenado
escalada	o ato de escalar algo
escalador	alguém que sobe montanhas como esporte
escalar	fazer de um tamanho; levar a um tamanho adequado
escalpar	remover o couro cabeludo
escalpelar	remover o couro cabeludo
escancarar	ser muito aberto
escandalizar	causar nojo ou repulsa
escandalosamente	de uma forma escandalosa
escandinavo	relacionado com a Escandinávia ou os seus povos ou culturas
escanear	obter dados de fitas magnéticas
escapada	o ato de escapar (fisicamente); " ele fez sua fuga do sanatório"; "o canário escapou de sua gaiola"; "sua escapada foi uma indicação da sua culpa"
escapar	Felizmente, eu escapei do furacão.
escapatória	o ato de sair (sem permissão) do lugar onde vôce devia estar
escape	o ato de sair (sem permissão) do lugar onde vôce devia estar
escapismo	uma inclinação para se retirar de realidades desagradáveis ​​através da distração ou da fantasia
escapulir	fugir de confinamento
escapuloumeral	relacionado com a omoplata e o osso do braço
escarlate	cor ou pigmento vermelho; a cor cromática que lembra a tonalidade do sangue
escarnear	assediar com críticas persistentes
escavar	obter da terra pela escavação; "escave minérios e metais"
esclarecer	tornar compreensível e claro
escoar	escoar ou fluir gradualmente
escocês	relacionado com ou característico da Escócia ou do seu povo, cultura ou do seu dialeto Inglês ou da língua gaélica
escola	instituição educacional
escola de dança	uma escola em que os alunos aprendem a dançar
escola de idiomas	uma escola para o ensino de línguas estrangeiras
escola de línguas	uma escola para o ensino de línguas estrangeiras
escola pública	uma escola gratis (nos Estados Unidos) suportada pelos impostos e controlada por um conselho escolar
escolar	menina que frequenta uma escola
escolha	o ato de escolher ou selecionar; "sua escolha de cores foi pouco feliz"; "voce pode fazer sua seleção"
escolhedor	uma pessoa que escolhe ou seleciona
escolher	escolher, selecionar de um numero de alternativas
escolher a dedo	escolher pessoalmente e com muito cuidado
escolher amostras aleatórias	escolher amostras aleatórias para análise, a fim de assegurar a alta qualidade
escolher o melhor	escolher o melhor
esconder	esconder da vista
escorar	apoiar colocando contra algo sólido ou rígido
escoriar	rasgar ou desgastar a pele ou fazer ferida por abrasão
escorraçar	expulsar de uma comunidade ou grupo
escorregar	mover-se obliquamente ou lateralmente, usualmente de forma descontrolada; "as rodas escorregavam da calçada"
escorriar	contusão, corte leve, ou ferir a superfície da pele
escorrido	exalando um fluido corporal em quantidades profusas
escorriçar	contusão, corte leve, ou ferir a superfície da pele
escovar	remover com ou como se tivesse uma escova
escravidão	prática de possuir escravos
escreava branca	uma mulher vendida para a prostituição
escrever	comunicar ou expressar através da escrita; "Por favor me escreva todo dia"
escrita	a atividade de colocar algo na forma escrita
escrita secreta	um método secreto da escrita
escrito	Escrito para um filme ou uma peca ou um programa de televisão
escritor	escrever (livros ou histórias ou artigos ou coisas semelhantes) profissionalmente (por dinheiro)
escritor de cartas	alguém que se comunica por meio de cartas
escritural	escrito ou relativo a escrita
escritório	local de trabalho, onde são realizadas atividades profissionais ou clericais
escritório central	(Geralmente no plural) o escritório que serve como o centro administrativo de uma empresa
escrutinizar	examinar cuidadosamente com a intenção de verificação
esculhambar	censurar severamente ou com raiva
escurecer	ficar escuro ou mais escuro
escurecido	(de papel e tecidos) tornar-se escuro na cor pela passagem do tempo
escuro	(de papel e tecidos) tornar-se escuro na cor pela passagem do tempo
escuta	o ato de ouvir com atenção; "você pode aprender muito só com a escuta"; "eles fazem boa música - você devia dar-lhes ouvido"
escutar	Prestar atenção; dar atenção a
escândalo	o ato de fazer uma confusão barulhenta
esfacelar	cair em deterioração ou ruína
esfarrapar	rasgar ou ser rasgado violentamente
esfomear	Sentir a necessidade de comer
esforçar	fazer um esforço para alcançar um objetivo
esforçar se demais	esticar excessivamente
esforçar-se	exercer muito esforço ou usar muita energia
esforço	uso de energia física ou mental; trabalho duro
esfregar	passar algo com pressão; "esfreguei minhas mãos"; "esfregue óleo em sua pele"
esfriar	repentinamente agir de forma fria e formal; "ela paralizou quando viu seu ex-marido"
esfriar-se	perder calor
esganiçar	proferir um grito estridente
esgotado	de uma maneira cansada
esgotar	esgotar, consumir totalmente; "O Legislativo gastou seu tempo em questões de escola"
esgoto	detritos que escoados em esgotos ou drenos
esgrima	o ato de usar uma espada (ou outra arma) vigorosamente e habilmente
esgueirar	ir furtivamente
eslavo	Línguas eslavas (ou eslávicas) são um grupo de línguas indo-européias com cerca de 430 milhões de falantes, principalmente no Leste Europeu.
eslavo eclesiástico	O eslavo eclesiástico (словѣньскыи ѩзыкъ, transl. slověnĭskyj językŭ, "língua eslávica") é a língua eslava expandida a partir de um pequeno grupo de documentos do século X
eslovaco	relacionado com ou característico da Eslováquia ou seu povo ou língua
esloveno	relacionado com ou característico da Eslovénia ou seu povo ou língua
esmagadoramente	de uma forma demolidora
esmagamento	o ato de esmagar
esmerilar	deteriorar-se através do uso ou estresse
esmiuçar	transformar em pó quebrando em particulas minusculas
esmolar	abordar as pessoas na rua e pedir dinheiro
esmorecer	estar inseguro ou fraco
esnobada	uma rejeição em reconhecer alguém que você conhece; "o desprezo foi claramente intencional"
esnobar	excluir da atenção ou consideração
espacial	detritos que escoados em esgotos ou drenos
espairecer	causar a sentir-se relaxado
espalhar	tornar amplamente conhecido e repassados; "o boato se espalhou"; "a história circulou no escritório"
espancar	dar uma surra de palmatoria
espanhol	relacionado com ou característico de Espanha ou do povo da Espanha
espantar	afetar com admiracao
espartano	relacionado com ou característico de Esparta e seu povo
espaço	um caracter em branco usado para separar palavras sucessivas na escrita ou impressão
espaçosamente	com amplo espaço
especializadamente	como um especialista
especialização	O campo principal do estudo de um estudante de uma universidade
especialmente	a um grau ou extensão distintamente maior do que é comum
especificar	decidir ou resolver definitivamente
especular	refletir profundamente sobre um assunto
espelhar	refletir ou se assemelhar
espeluncar	explorar cavernas naturais
esperado	esperado positivamente
esperançar	ser otimista; estar cheio de esperança; ter esperanças
esperar	imaginar, acreditar, ou supor
esperto	mostrando agilidade mental e desenvoltura
espetar	perfurar ou penetrar ou perfurar com algo pontudo
espetáculo	um erro que faz você parecer ridículo
espiar	lançar um olhar; dar uma breve olhada
espionar	Seguir com os olhos ou a mente
espirito	Um ser incorpóreo que se acredita ter poderes especiais para afetar o curso dos eventos humanos
espontaneamente	sem preparação prévia
espontâneo	não organizado para fins pictóricos
esporte	um jogo envolvendo atividades atléticas
esposa	uma mulher casada; parceira de um homem em casamento
esposar	tomar em casamento
espremer	apertar firmemente entre os dedos; "Ele apertou ela por atrás"; "Ela espremeu a garrafa"
espumar de raiva	Estar em um estado de raiva descontrolada
espécie humana	Todos os habitantes humanos vivos da Terra
espírito	o estado das emoções de uma pessoa (especialmente em matéria de prazer ou desânimo)
espírito de equipe	o espírito de um grupo que faz com que os membros queiram que o grupo tenha sucesso
espírito de grupo	o espírito de um grupo que faz com que os membros queiram que o grupo tenha sucesso
espólio	passagem hereditária de um título ou um cargo ou de propriedade
esquartejar	dividir por quatro
esquecer	tentar esquecer; colocar para fora de sua memória ou conhecimento
esquema	um esquema de arranjo
esquematizar	conceber um sistema ou formar um esquema para
esquentado	Significados estendidos; especialmente de calor psicológico; marcado por intensidade ou veemência especialmente de paixão ou entusiasmo
esquentar	tornar quente ou mais quente
esquerdista	de ou pertencente à política ou intelectual à esquerda
esquete	um episódio teatral curto
esquiar	movimentar-se sobre esquis.
esquisito	Um dançarino desajeitado
esquivar	evitar ou tentar evitar o cumprimento, a resposta, ou o fazer de (tarefas, perguntas ou problemas)
essência	a parte mais seleta ou mais essencial ou mais vital de alguma idéia ou experiência
estabelecer	estabelecer ou desenvolver como residência
estabelecer se	formar uma comunidade
estabelecido	declarado como fato; situação explicitada
estabelecimento	o ato de formar ou estabelecer alguma coisa; "a constituição de uma associação de pais e professores"; "foi o estabelecimento da sua reputação"; " ele ainda se lembra da organização do clube"
estabilizar-se	ficar estável ou mais estável; "A economia estabilizou-se"
estacar	Marcar com uma estaca
estacionamento	um lugar onde os carros podem ser estacionados
estado	a maneira como algo é, com respeito a seus principais atributos
estado emocional	o estado das emoções de uma pessoa (especialmente em matéria de prazer ou desânimo)
estado escravagista	qualquer um dos estados do Sul, em que a escravidão era legal antes da Guerra Civil Americana
estado-unidense	relacionado com os Estados Unidos da América ou seu povo ou língua ou cultura
estados físicos da matéria	(Química) os três estados tradicionais da matéria são sólidos (forma e volume fixos), líquidos (volume fixo e forma moldada pelo contêiner) e gases (preenchendo o recipiente)
estagiar	trabalhar como estagiário
estagiário	Alguém que está sendo treinado
estagnar	Ele preguiçou na cama a manhã toda
estalar	fechar os lábios e abri-los ruidosamente, como se estivesse comendo
estandardizar	fazer conforme à norma ou padrao
estapear	atingir com algo plano, como uma raquete ou a mão aberta
estar	assumir um certo estado ou condiçã; "ele se tornou irascivel quando ouviu as mas noticias" ; "a face dela se tornou vermelha de raiva" ; "ela ficou extasiada"
estar a deriva	estar em movimento devido a alguma corrente de ar ou de água
estar bem	estar saudável; sentir-se bem
estar de dieta	comer com moderação, por motivos de saúde ou para perder peso
estar deitado	estar prostrado; estar em uma posição horizontal
estar enraivecido	O cliente estava fervendo de raiva.
estar furioso	O cliente estava fervendo de raiva.
estar informado	estar a par
estar parado	permanecer inativo ou imóvel
estatuo	um ato passado por um corpo legislativo
estatuto	um ato passado por um corpo legislativo
estatística	um ramo da matemática aplicada preocupado com a coleta e interpretação de dados quantitativos e o uso da teoria das probabilidades para estimar parâmetros populacionais
estatística nao parametrica	uma estatística calculada sem conhecimento da forma ou dos parâmetros da distribuição a partir da qual as observações são extraidas
estatística parametrica	qualquer estatística calculada por procedimentos que assumem os dados foram extraídos de uma distribuição específica
estatística sem distribuicao	uma estatística calculada sem conhecimento da forma ou dos parâmetros da distribuição a partir da qual as observações são extraidas
estatísticas	um ramo da matemática aplicada preocupado com a coleta e interpretação de dados quantitativos e o uso da teoria das probabilidades para estimar parâmetros populacionais
estatístico	de ou relacionado com estatísticas
estavelmente	de forma firme, constante
estação de correios	uma filial local onde os serviços postais estão disponíveis
estação de tratamento de água	local de trabalho onde a água é armazenada e purificada e distribuída para uma comunidade
estação de ônibus	um terminal que serve os passageiros de ônibus
estação rodoviária	um terminal que serve os passageiros de ônibus
esteatito	pedra usada para fazer lareiras, tampos de mesa e ornamentos
estender	esticar ou alongar os músculos ou o corpo inteiro; "alongue suas pernas!"; "estenda seu braço direito acima da sua cabeça"
estender-se	estender o máximo possível
esterilizar	tornar infértil; "em alguns paises pessoas com doenças geneticamente transmissíveis são esterilizadas"
estertorosamente	de um modo barulhento e estertoroso
esterçar	dirigir a si mesmo para algum outro lugar
esteticista	um trabalhadorqualificado para providenciar tratamentos de beleza (manicures e faciais etc.)
estevar	revirar e preparar a terra, especialmente com um arado
esticar	esticar ou alongar os músculos ou o corpo inteiro; "alongue suas pernas!"; "estenda seu braço direito acima da sua cabeça"
estilhaçar	quebrar em muitos pedaços
estilista	alguém que faz ou conserta vestidos
estilizar	representar de acordo com um estilo convencional
estilo	direções editoriais a serem seguidos na ortografia e pontuação e capitalização da tipografia
estilo borboleta	um estilo de natação em que os braços são jogados para a frente juntos para fora da água, enquanto os pés são chutados para cima e para baixo
estima	(Geralmente no plural) uma expressão educada de desejo pelo bem-estar de alguém
estimar	julgar por tentativa ou formar uma estimativa de (quantidades ou tempo)
estimativa	um julgamento das qualidades de algo ou alguém; "vários fatores estão envolvidos em qualquer estimativa da vida humana"; "na minha avaliação o rapaz é inocente "
estimular	causar um estado alerta e energizado
estimulação	o ato de despertar um organismo para a ação
estio	a estação mais quente do ano;
estipular	especificar como uma condição ou exigência de um contrato ou acordo; fazer um pedido expresso ou disposição de um acordo
estipulação	uma suposição sobre a qual repousa a validade ou o efeito de algo mais
estirar	estender demais
estivar	dormir durante o verão
estocar	acumular a fim de manter para futuro uso ou venda, ou para uma ocasião especial
estofador	um artesão que estofa móveis
estofar	encher com um material completamente
estoniano	Os Estonianos são um povo que originalmente habita a Estônia, porção norte da península báltica. Os estonianos são um povo fino-báltico, mais intimamente ligados aos finlandeses e aos lapões do que aos lituanos e letões, seus vizinhos de península.
estonianos	Os Estonianos são um povo que originalmente habita a Estônia, porção norte da península báltica. Os estonianos são um povo fino-báltico, mais intimamente ligados aos finlandeses e aos lapões do que aos lituanos e letões, seus vizinhos de península.
estontear	afetar com admiracao
estoquista	alguem (como um varejista ou distribuidor) que estoca bens
estorricar	causa de murchar e ressecar por exposição ao calor; "O sol ressecou a terra"
estourar	vir a abrir de repente e violentamente, como se estivesse sob pressão interna
estouro	o ato de explodir ou romper
estrada	Um caminho aberto (geralmente público) para viagens ou transporte
estragado	(De alimentos) não em uma condição de consumo ou utilizável
estragar	ficar azedo ou estragado
estrangulamento	o ato de sufocar alguém, contraindo a traquéia dessa pessoa
estrangular	tornar-se restrito
estranhamente	Em um modo assustadoramente sobrenatural;
estranhar	despertar hostilidade ou indiferença onde havia anteriormente amor, carinho ou simpatia
estranho	conspicuamente ou grosseiramente não convencionail ou incomum
estratificar	tornar fértil e preservar, colocando entre as camadas de terra ou areia
estrato	um lugar abstrato geralmente concebido como tendo profundidade
estrear	aparecer pela primeira vez em público
estreia	a primeira apresentação (de uma produção teatral)
estreitar	ficar estreito ou apertado
estrela de Davi	uma estrela de seis pontas formada a partir de dois triângulos equiláteros; um emblema que simboliza o judaísmo
estremecer	mover com ou como se tivesse um tremor; "sua mão tremia"
estressar	causar um estado tenso, inquieto, nervoso ou ansioso
estridentemente	de uma forma dura e irritante
estrondar	produzir um som explosivo forte as vezes metálico
estrondo	um sucesso notável; "aquela musica foi seu primeiro sucesso";
estrutura organica	A estrutura inteira de um organismo (animal, vegetal ou ser humano)
estudante	um estudante que tem uma bolsa de estudos
estudar	ser um estudante de um determinado assunto
estudo	uma inspeção crítica detalhada
estufar	encher com um material completamente
estuprador	alguém que obriga o outro a ter relações sexuais
estuprar	obrigar (alguém) a ter relações sexuais contra a sua vontade
esturricar	fazer muito quente e seco
estágio probatório	Um período de avaliação durante o qual seu carater e habilidades são testados para ver se você está adequado para o trabalho ou para associação
estónio	Os Estonianos são um povo que originalmente habita a Estônia, porção norte da península báltica. Os estonianos são um povo fino-báltico, mais intimamente ligados aos finlandeses e aos lapões do que aos lituanos e letões, seus vizinhos de península.
estônio	Os Estonianos são um povo que originalmente habita a Estônia, porção norte da península báltica. Os estonianos são um povo fino-báltico, mais intimamente ligados aos finlandeses e aos lapões do que aos lituanos e letões, seus vizinhos de península.
estúpido	lento para aprender ou compreender; sem acuidade intelectual
esvanecer	desaparecer gradualmente
esvaziar	tornar-se vazio ou sem seu conteúdo
esverdear	transformar-se ou tornar-se verde
etapa	uma seção ou parte de uma viagem ou curso
eterizar	anestesiar com éter
eternidade	um estado de existência eterna em algumas religiões que caracterizam a vida após a morte
eternizar	tornar famoso para sempre
etimologizar	construir a história das palavras
etiquetar	anexar uma argola ao pé de algo, com o objetivo de identificar
etrusco	um nativo ou habitante da Etruria antiga; os etruscos influenciaram os romanos (que os haviam suprimido cerca de 200 AC
euclideano	relativo à geometria como desenvolvida por Euclides
eulogista	um orador que faz elogios ou panegíricos
eurasiano	uma pessoa de ascendência mista, europeia e asiática
euro-africano	ma pessoa de ascendência mista européia e africana
europeizar	tornar europeu em costumes, caráter, ou ideias
evadir	evitar ou tentar evitar o cumprimento, a resposta, ou o fazer de (tarefas, perguntas ou problemas)
evadir-se	fujir rapidamente
evanescente	tendendo a desaparecer como vapor
evaporar	perder ou causar a perda de líquido por vaporização deixando um resíduo mais concentrado
evasividade	algo intencionalmente vago ou ambíguo
evaziar	ficar vazio ou sem seu conteúdo
evento	alguma coisa que acontece em um determinado lugar e tempo
evidenciar	ser um sinal para algo ou um sintoma de algo; "Estes sintomas indicam uma doença grave"; "Seu comportamento aponta para uma neurose grave"; "Os indicadores econômicos sinalizam que o euro está desvalorizado"
evidência indireta	tendo fatores ou pessoas ou influências intermediarias
evitar	evitar ou tentar evitar o cumprimento, a resposta, ou o fazer de (tarefas, perguntas ou problemas)
evoluir	sofrer desenvolvimento ou evolução
ex	Uma mulher que anteriormente era esposa de um homem específico
ex-cônjuge	Uma pessoa que antigamente era um cônjuge
ex-jogador	alguem que foi jogador
ex-mulher	Uma mulher que anteriormente era esposa de um homem específico
ex-prefeito	uma pessoa que foi prefeito
ex-presidente	alguem que foi presidente no passado
exacerbar	tornar pior; "esse remédio piora a dor"
exactamente	indicando a exatidão ou precisão
exagerar	mostrar uma resposta exagerada a algo
exalar	emitir respiração ou um odor
exaltar	louvar, glorificar ou honrar; "louvar as virtudes dos filhos"; "glorificar o cozinhar de um cônjuge"
exaltar se	dizer com entusiasmo
examinar	o ato de examinar algo de perto (como por erros)
exasperação	um sentimento exasperado de irritação
exatamente	indicando a exatidão ou precisão
exaurir	causar exaustão ou cansaço através de uso excessivo, grande tensão ou estresse; "nos nos exaurimos nessa caminhada"
exaurir-se	causar exaustão ou cansaço através de uso excessivo, grande tensão ou estresse; "nos nos exaurimos nessa caminhada"
exceder	almejar muito alto
excelente	muito bom; da mais alta qualidade
excessivamente	a um grau indevido
excitado	sentimento de grande desejo sexual
excitar	causar um estado alerta e energizado
exclamar	Falar em voz muito alta ; muitas vezes com surpresa, horror, ou alegria
excruciar	sujeitar a tortura
excursão	uma jornada com algum propósito (geralmente incluindo o retorno)
excusar	isentar ou liberar alguem
excêntrico	Uma pessoa com uma personalidade incomum ou estranha
execrar	amaldiçoar ou declarar ser do mal ou anátema ou ameaçar com castigo divino
execrável	Absolutamente detestável
executar	realizar ou executar uma ação
executivo	um executivo de uma corporação de negócios
executora	Um executor do sexo feminino
executável	capaz de ser feito com os meios à mão e com as circunstâncias como elas são
execução	o ato de implementar (fornecer meios práticos para a realização de alguma coisa); levar a efeito
